Terrains: 100
Byzantine Technology Tree  0
Byzantine Technology Tree  0
Byzantine Technology Tree  -264
Byzantine Technology Tree  -528
Byzantine Technology Tree  -333
Byzantine Technology Tree  -666
UPGRADES : 212
0  1  CONDOPLACEHOLDER  80  CONDO  80
0  1  GENITOPLACEHOLDER  60  GENITO  50
0  1  MRARC  1  MFARC  1
0  1  MRCOM  1  MFCOM  1
0  1  MRCRS  1  MFCRS  1
0  2  MRSBL  1  MFSBL  1
0  1  MRHCS  1  MFHCS  1
0  1  MRMAN  1  MFMAN  1
0  1  MRTRB  1  MFTRB  1
0  1  MRGAL  1  MFGAL  1
0  1  MRWGL  1  MFWGL  1
0  1  MRHHA  1  MFHHA  1
0  1  MRHAR  1  MFHAR  1
0  1  MRVOL  1  MFVOL  1
0  1  MRWTN  1  MFWTN  1
0  1  MRGTW  1  MFGTW  1
0  1  MRKEP  1  MFKEP  1
0  1  MRACA  1  MFACA  1
0  1  MRAHX  1  MFAHX  1
0  1  MRVIL  1  MFVIL  1
0  2  MRCKN  1  MFCKN  1
0  1  MRLBM  1  MFLBM  1
0  1  MRLBT  1  MFLBT  1
0  1  MRMSU  1  MFMSU  1
0  1  MRMPC  1  MFMPC  1
0  1  MRONG  1  MFONG  1
0  2  MRCKN  1  MFCKN  1
0  1  MRSGY  1  MFSGY  1
0  2  MRHSB  1  MFHSB  1
0  1  MRMNB  1  MFMNB  1
0  1  MRCST  1  MFCST  1
0  1  MRCVB  1  MFCVB  1
1  2  MRSBL  1  MFSBL  1
1  2  MRHSB  1  MFHSB  1
0  1  BERSBL  1  BEFSBL  1
0  1  ARDAR  1  ARDARF  1
0  1  WCTW  1020  WCTW3  2250
0  1  BTRAM  175  CBATR  200
0  1  RTWC  2400  RTWC2  2400
0  1  RTWC1A  2400  RTWC2A  2400
0  1  RTWC1B  2400  RTWC2B  2400
0  1  RTWC1C  2400  RTWC2C  2400
0  1  RTWC1X  2400  RTWC2X  2400
0  1  BLAC  1800  BLAC2  1800
0  1  MILL  600  MILL2  800
0  1  CRCH  2100  CRCH2  2100
0  1  DOCK  1800  DOCK2  1800
0  1  HOUS  550  HOUS2  750
